Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
-0.05,0.345,0.931,-0.305,31812
-0.05,0.345,0.931,-0.488,31817
-0.051,0.346,0.932,-0.61,31822
-0.049,0.344,0.931,-0.183,31827
-0.049,0.344,0.931,-0.122,31832
-0.047,0.344,0.931,-0.183,31837
-0.047,0.344,0.931,-0.122,31842
-0.048,0.345,0.932,-0.061,31847
-0.048,0.345,0.932,0.061,31853
-0.047,0.347,0.93,0.122,31858
-0.047,0.347,0.93,-0.061,31863
-0.047,0.346,0.933,0.061,31868
-0.047,0.346,0.933,0.0,31873
-0.048,0.348,0.93,0.183,31878
-0.048,0.348,0.93,0.061,31883
-0.047,0.347,0.929,-0.244,31888
-0.047,0.347,0.929,-0.122,31893
-0.047,0.347,0.926,-0.183,31898
-0.047,0.347,0.926,-0.366,31904
-0.048,0.347,0.928,-0.305,31909
-0.048,0.347,0.928,-0.305,31914
-0.049,0.346,0.93,-0.305,31919
-0.049,0.346,0.93,-0.305,31924
-0.049,0.346,0.931,-0.366,31929
-0.049,0.346,0.931,-0.61,31934
-0.048,0.346,0.933,-0.488,31939
-0.048,0.346,0.933,-0.549,31944
-0.048,0.344,0.932,-0.427,31950
-0.048,0.344,0.932,-0.305,31955
-0.048,0.344,0.931,-0.244,31960
-0.048,0.344,0.931,-0.061,31965
-0.046,0.345,0.933,0.061,31970
-0.046,0.345,0.933,-0.061,31975
-0.045,0.346,0.932,0.061,31980
-0.045,0.346,0.932,0.122,31985
-0.048,0.346,0.93,-0.061,31990
-0.048,0.347,0.931,-0.061,31996
-0.048,0.347,0.931,-0.183,32001
-0.048,0.346,0.93,-0.183,32006
-0.048,0.346,0.93,-0.122,32011
-0.048,0.345,0.931,-0.122,32016
-0.048,0.345,0.931,-0.366,32021
-0.047,0.345,0.931,-0.549,32026
-0.047,0.345,0.931,-0.488,32031
-0.05,0.346,0.932,-0.366,32037
-0.05,0.346,0.932,-0.671,32042
-0.049,0.344,0.934,-0.671,32047
-0.049,0.344,0.934,-0.427,32052
-0.052,0.342,0.933,-0.366,32057
-0.052,0.342,0.933,-0.305,32062
-0.05,0.344,0.932,-0.183,32067
-0.05,0.344,0.932,-0.183,32072
-0.048,0.344,0.931,-0.122,32078
-0.048,0.344,0.931,-0.061,32083
-0.048,0.346,0.933,0.122,32088
-0.048,0.346,0.933,0.061,32093
-0.048,0.345,0.932,0.0,32098
-0.048,0.345,0.932,0.183,32103
-0.048,0.347,0.93,0.122,32108
-0.048,0.347,0.93,0.061,32113
-0.048,0.347,0.929,-0.061,32118
-0.048,0.347,0.929,-0.183,32123
-0.048,0.348,0.929,-0.244,32128
-0.048,0.348,0.929,-0.244,32134
-0.049,0.348,0.931,-0.244,32139
-0.049,0.348,0.931,-0.183,32144
-0.046,0.347,0.93,-0.427,32149
-0.046,0.347,0.93,-0.488,32154
-0.05,0.345,0.933,-0.488,32159
-0.05,0.345,0.932,-0.488,32164
-0.05,0.345,0.932,-0.366,32169
-0.05,0.345,0.933,-0.244,32174
-0.05,0.345,0.933,-0.244,32180
-0.049,0.344,0.931,-0.244,32185
-0.049,0.344,0.931,-0.183,32190
-0.05,0.345,0.932,0.061,32195
-0.05,0.345,0.932,0.122,32200
-0.049,0.346,0.931,-0.061,32205
-0.049,0.346,0.931,-0.183,32210
-0.049,0.347,0.931,0.0,32215
-0.049,0.347,0.931,0.061,32220
-0.049,0.346,0.932,-0.122,32225
-0.049,0.346,0.932,-0.183,32231
