Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
0.076,0.764,-0.629,-0.122,9662
0.073,0.763,-0.619,0.122,9666
0.076,0.761,-0.63,-0.244,9670
0.075,0.762,-0.629,-0.549,9674
0.076,0.762,-0.629,-0.427,9678
0.079,0.761,-0.623,-0.61,9682
0.073,0.761,-0.627,-0.549,9686
0.077,0.761,-0.627,-0.366,9690
0.072,0.765,-0.628,0.0,9694
0.078,0.76,-0.625,-0.122,9698
0.071,0.765,-0.626,0.061,9702
0.075,0.762,-0.627,0.183,9706
0.078,0.757,-0.627,0.122,9710
0.075,0.761,-0.627,0.0,9715
0.077,0.761,-0.627,-0.305,9718
0.078,0.764,-0.636,0.122,9722
0.075,0.761,-0.631,-0.244,9726
0.077,0.761,-0.628,-0.366,9731
0.071,0.761,-0.631,-0.305,9734
0.072,0.765,-0.626,-0.61,9738
0.074,0.764,-0.632,-0.305,9742
0.074,0.761,-0.628,0.183,9746
0.076,0.763,-0.63,0.122,9750
0.078,0.761,-0.627,0.366,9754
0.078,0.758,-0.63,0.183,9758
0.079,0.759,-0.63,-0.061,9763
0.076,0.759,-0.63,-0.488,9766
0.075,0.76,-0.627,-0.977,9770
0.078,0.765,-0.621,-0.549,9774
0.076,0.762,-0.628,-0.61,9778
0.075,0.764,-0.625,-0.244,9782
0.079,0.762,-0.625,-0.183,9786
0.079,0.762,-0.627,-0.122,9790
0.075,0.757,-0.63,0.244,9795
0.076,0.763,-0.628,-0.122,9799
0.08,0.761,-0.625,-0.244,9803
0.078,0.758,-0.628,-0.122,9807
0.077,0.761,-0.631,-0.427,9810
0.076,0.763,-0.636,-0.061,9815
0.079,0.761,-0.627,-0.183,9819
0.073,0.765,-0.622,-0.305,9823
0.073,0.757,-0.629,-0.122,9827
0.078,0.762,-0.632,-0.183,9831
0.077,0.762,-0.632,-0.305,9834
0.076,0.762,-0.627,-0.671,9838
0.077,0.766,-0.63,-0.732,9842
0.077,0.767,-0.624,-0.305,9846
0.078,0.766,-0.627,-0.183,9850
0.077,0.76,-0.629,-0.488,9854
0.075,0.766,-0.626,-0.244,9859
0.079,0.766,-0.624,-0.122,9862
0.081,0.76,-0.631,0.305,9866
0.079,0.768,-0.628,0.061,9870
0.081,0.76,-0.63,-0.366,9874
0.078,0.762,-0.63,-0.244,9878
0.077,0.762,-0.625,-0.061,9882
0.075,0.761,-0.628,-0.244,9886
0.075,0.764,-0.627,-0.183,9890
0.077,0.763,-0.632,0.061,9894
0.073,0.766,-0.625,0.0,9898
0.079,0.76,-0.629,-0.122,9902
0.076,0.763,-0.63,-0.061,9906
0.08,0.764,-0.631,-0.061,9910
0.078,0.763,-0.629,-0.183,9914
0.075,0.761,-0.634,-0.122,9918
0.075,0.76,-0.626,-0.488,9923
0.075,0.756,-0.628,-0.366,9927
0.075,0.766,-0.626,-0.183,9931
0.076,0.763,-0.626,-0.183,9935
0.074,0.763,-0.628,-0.244,9939
0.075,0.762,-0.632,-0.244,9943
0.076,0.759,-0.622,-0.061,9946
0.074,0.758,-0.627,-0.671,9950
0.075,0.761,-0.632,-0.549,9954
0.073,0.759,-0.623,0.0,9958
0.076,0.764,-0.628,-0.61,9962
0.078,0.767,-0.629,-0.183,9967
0.076,0.764,-0.626,0.061,9971
0.077,0.76,-0.629,-0.244,9975
0.079,0.761,-0.628,-0.183,9978
