Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
0.312,-0.019,-0.956,-0.244,16860.0
0.309,-0.015,-0.955,-0.122,16880.0
0.31,-0.015,-0.956,-0.244,16902.0
0.311,-0.018,-0.954,-0.244,16921.0
0.313,-0.018,-0.958,-0.366,16940.0
0.311,-0.017,-0.955,-0.244,16958.0
0.313,-0.018,-0.96,-0.366,16977.0
0.31,-0.013,-0.954,-0.183,16997.0
0.311,-0.016,-0.955,-0.244,17018.0
0.312,-0.019,-0.957,-0.061,17040.0
0.311,-0.011,-0.956,-0.183,17062.0
0.314,-0.014,-0.955,-0.244,17084.0
0.312,-0.013,-0.958,-0.366,17106.0
0.312,-0.015,-0.955,0.0,17126.0
0.311,-0.016,-0.957,-0.122,17144.0
0.314,-0.016,-0.956,-0.305,17163.0
0.315,-0.013,-0.954,-0.061,17185.0
0.312,-0.014,-0.955,-0.305,17205.0
0.312,-0.015,-0.955,-0.183,17224.0
0.313,-0.013,-0.955,-0.122,17242.0
0.312,-0.018,-0.954,-0.183,17261.0
0.312,-0.015,-0.958,-0.183,17281.0
0.313,-0.016,-0.956,-0.061,17301.0
0.31,-0.017,-0.957,-0.244,17320.0
0.31,-0.017,-0.954,-0.183,17342.0
0.315,-0.017,-0.956,-0.305,17360.0
0.313,-0.017,-0.958,-0.122,17378.0
0.313,-0.016,-0.956,-0.244,17399.0
0.313,-0.017,-0.956,-0.244,17418.0
0.31,-0.015,-0.958,-0.122,17438.0
0.313,-0.014,-0.958,-0.122,17459.0
0.311,-0.017,-0.957,-0.305,17480.0
0.31,-0.013,-0.957,-0.061,17499.0
0.309,-0.014,-0.955,-0.183,17518.0
0.311,-0.013,-0.955,-0.244,17543.0
0.313,-0.016,-0.957,-0.244,17563.0
0.315,-0.016,-0.957,-0.183,17584.0
0.315,-0.013,-0.955,-0.061,17604.0
0.314,-0.015,-0.957,-0.061,17625.0
0.314,-0.014,-0.955,-0.305,17643.0
0.315,-0.016,-0.957,-0.305,17663.0
0.31,-0.015,-0.958,-0.244,17686.0
0.311,-0.016,-0.957,-0.183,17705.0
0.312,-0.016,-0.956,-0.305,17724.0
0.313,-0.016,-0.958,0.0,17745.0
0.313,-0.016,-0.957,-0.061,17765.0
0.312,-0.015,-0.955,-0.244,17786.0
0.309,-0.013,-0.957,-0.305,17807.0
0.312,-0.018,-0.954,-0.061,17825.0
0.312,-0.016,-0.955,-0.061,17843.0
0.31,-0.015,-0.957,-0.244,17862.0
0.315,-0.014,-0.957,-0.061,17880.0
0.312,-0.017,-0.957,-0.183,17900.0
0.311,-0.015,-0.955,-0.305,17919.0
0.312,-0.013,-0.955,0.0,17937.0
0.313,-0.015,-0.956,-0.183,17957.0
0.313,-0.018,-0.958,-0.061,17978.0
0.316,-0.015,-0.957,-0.244,17997.0
0.311,-0.016,-0.957,-0.427,18018.0
0.309,-0.017,-0.958,-0.305,18036.0
0.313,-0.016,-0.956,-0.122,18058.0
0.315,-0.015,-0.954,0.0,18077.0
0.31,-0.014,-0.954,-0.122,18097.0
0.313,-0.014,-0.957,-0.183,18117.0
0.313,-0.016,-0.958,-0.305,18138.0
0.312,-0.015,-0.955,-0.122,18157.0
0.311,-0.016,-0.955,-0.183,18176.0
0.312,-0.017,-0.958,-0.122,18194.0
0.312,-0.016,-0.958,-0.488,18213.0
0.312,-0.016,-0.957,-0.366,18232.0
0.312,-0.015,-0.956,-0.122,18253.0
0.315,-0.018,-0.956,-0.061,18275.0
0.315,-0.018,-0.954,-0.183,18295.0
0.311,-0.015,-0.956,-0.183,18313.0
0.312,-0.016,-0.958,-0.183,18332.0
0.312,-0.014,-0.956,-0.122,18350.0
0.312,-0.018,-0.957,-0.122,18370.0
0.312,-0.019,-0.957,-0.183,18390.0
0.313,-0.012,-0.956,-0.122,18413.0
0.31,-0.017,-0.957,-0.122,18431.0
0.312,-0.015,-0.951,-0.061,18450.0
0.312,-0.017,-0.956,-0.244,18470.0
0.316,-0.016,-0.957,-0.061,18490.0
0.312,-0.013,-0.957,-0.244,18508.0
0.314,-0.015,-0.955,-0.305,18528.0
0.315,-0.015,-0.957,-0.244,18547.0
0.312,-0.018,-0.955,-0.488,18569.0
0.309,-0.018,-0.957,-0.122,18587.0
0.316,-0.015,-0.957,-0.122,18606.0
0.312,-0.017,-0.958,-0.183,18627.0
0.313,-0.017,-0.96,-0.122,18647.0
0.313,-0.016,-0.957,-0.183,18666.0
0.311,-0.015,-0.957,-0.244,18685.0
0.313,-0.012,-0.955,-0.122,18707.0
0.31,-0.015,-0.956,-0.244,18725.0
0.307,-0.016,-0.959,-0.244,18747.0
0.315,-0.016,-0.957,-0.305,18767.0
0.312,-0.012,-0.955,-0.122,18785.0
0.313,-0.017,-0.957,0.0,18804.0
0.311,-0.013,-0.955,-0.183,18823.0
0.313,-0.018,-0.954,-0.244,18842.0
0.312,-0.012,-0.955,-0.427,18860.0
0.314,-0.015,-0.959,-0.305,18883.0
0.312,-0.018,-0.958,-0.244,18903.0
0.312,-0.018,-0.957,-0.183,18924.0
0.312,-0.018,-0.955,-0.244,18943.0
0.313,-0.014,-0.954,-0.122,18964.0
0.313,-0.015,-0.956,-0.122,18984.0
0.312,-0.017,-0.955,-0.183,19003.0
0.312,-0.018,-0.956,-0.244,19021.0
0.314,-0.017,-0.956,-0.122,19041.0
0.314,-0.016,-0.957,-0.183,19061.0
0.314,-0.011,-0.956,-0.122,19083.0
0.312,-0.017,-0.956,-0.183,19102.0
0.308,-0.015,-0.956,-0.122,19120.0
0.313,-0.017,-0.953,-0.122,19141.0
0.311,-0.015,-0.951,-0.427,19160.0
0.311,-0.013,-0.956,-0.183,19179.0
0.311,-0.015,-0.957,-0.183,19197.0
0.313,-0.018,-0.955,-0.244,19218.0
0.312,-0.015,-0.956,0.183,19240.0
0.313,-0.015,-0.956,-0.244,19260.0
0.31,-0.011,-0.954,-0.183,19281.0
0.31,-0.012,-0.956,-0.122,19300.0
0.314,-0.014,-0.958,-0.183,19322.0
0.316,-0.017,-0.956,-0.244,19346.0
0.311,-0.016,-0.958,-0.183,19365.0
0.313,-0.016,-0.958,-0.183,19383.0
0.311,-0.016,-0.952,-0.122,19406.0
0.315,-0.016,-0.955,-0.061,19424.0
0.312,-0.019,-0.959,-0.122,19442.0
0.311,-0.014,-0.957,-0.183,19461.0
0.313,-0.017,-0.956,-0.122,19479.0
0.312,-0.014,-0.955,-0.305,19498.0
0.309,-0.016,-0.958,-0.244,19517.0
0.311,-0.014,-0.958,-0.061,19538.0
0.31,-0.016,-0.956,-0.183,19557.0
0.309,-0.015,-0.957,-0.305,19577.0
0.313,-0.014,-0.956,-0.183,19597.0
0.313,-0.017,-0.956,-0.305,19615.0
0.314,-0.017,-0.955,-0.366,19634.0
0.313,-0.014,-0.956,-0.122,19656.0
0.312,-0.015,-0.955,-0.122,19674.0
0.312,-0.014,-0.958,-0.244,19696.0
0.31,-0.016,-0.955,-0.244,19714.0
0.31,-0.015,-0.955,-0.244,19732.0
0.312,-0.016,-0.958,-0.244,19751.0
0.311,-0.016,-0.957,0.0,19772.0
0.31,-0.015,-0.956,-0.183,19794.0
0.312,-0.015,-0.957,-0.427,19813.0
0.316,-0.016,-0.956,-0.061,19832.0
0.311,-0.014,-0.957,-0.244,19856.0
0.312,-0.017,-0.956,-0.427,19874.0
0.315,-0.013,-0.955,-0.488,19894.0
0.316,-0.016,-0.958,-0.183,19914.0
0.315,-0.018,-0.959,-0.122,19933.0
0.311,-0.021,-0.956,-0.244,19953.0
0.31,-0.013,-0.955,-0.183,19973.0
0.317,-0.018,-0.959,-0.122,19993.0
0.312,-0.021,-0.956,-0.183,20014.0
0.316,-0.019,-0.958,-0.305,20034.0
0.315,-0.011,-0.958,-0.244,20055.0
0.309,-0.013,-0.952,-0.244,20074.0
0.313,-0.015,-0.953,-0.183,20092.0
0.312,-0.011,-0.958,-0.122,20111.0
0.314,-0.017,-0.958,-0.183,20131.0
0.313,-0.016,-0.956,0.0,20151.0
0.314,-0.014,-0.954,-0.305,20170.0
0.314,-0.017,-0.958,0.0,20189.0
0.314,-0.021,-0.961,-0.122,20210.0
0.314,-0.023,-0.957,-0.366,20229.0
0.312,-0.018,-0.958,-0.305,20250.0
0.312,-0.011,-0.952,-0.366,20271.0
0.311,-0.011,-0.957,-0.366,20289.0
0.312,-0.013,-0.956,-0.122,20308.0
0.312,-0.02,-0.953,-0.061,20328.0
0.311,-0.018,-0.954,-0.366,20348.0
0.312,-0.014,-0.955,-0.122,20367.0
0.311,-0.017,-0.955,-0.305,20389.0
0.308,-0.017,-0.957,-0.122,20409.0
0.312,-0.019,-0.957,-0.305,20427.0
0.314,-0.016,-0.958,-0.122,20446.0
0.312,-0.013,-0.956,-0.183,20466.0
0.313,-0.014,-0.957,-0.183,20486.0
0.312,-0.019,-0.955,-0.122,20505.0
0.31,-0.016,-0.953,-0.122,20524.0
0.312,-0.019,-0.959,-0.244,20542.0
0.312,-0.014,-0.957,-0.061,20563.0
0.312,-0.016,-0.956,-0.183,20581.0
0.318,-0.017,-0.954,-0.244,20602.0
0.315,-0.013,-0.957,-0.122,20624.0
0.316,-0.014,-0.955,-0.183,20642.0
0.311,-0.016,-0.956,-0.122,20663.0
0.309,-0.017,-0.954,-0.305,20682.0
0.312,-0.017,-0.953,-0.244,20702.0
0.313,-0.019,-0.957,-0.061,20720.0
0.313,-0.018,-0.957,0.0,20738.0
0.314,-0.017,-0.958,-0.183,20756.0
0.314,-0.017,-0.957,-0.183,20777.0
0.31,-0.017,-0.958,-0.183,20795.0
0.31,-0.013,-0.955,-0.122,20816.0
0.314,-0.014,-0.956,-0.244,20835.0
0.313,-0.015,-0.957,-0.122,20854.0
0.311,-0.016,-0.955,-0.122,20877.0
0.314,-0.016,-0.957,-0.122,20897.0
0.311,-0.017,-0.958,-0.183,20916.0
0.313,-0.016,-0.959,-0.122,20935.0
0.313,-0.016,-0.956,-0.122,20955.0
0.311,-0.011,-0.955,-0.061,20977.0
0.316,-0.015,-0.955,-0.183,20995.0
0.315,-0.014,-0.956,-0.305,21017.0
0.316,-0.016,-0.957,-0.122,21037.0
0.31,-0.016,-0.956,-0.244,21057.0
0.312,-0.014,-0.957,-0.061,21080.0
0.312,-0.017,-0.958,-0.183,21099.0
0.31,-0.015,-0.957,-0.244,21121.0
0.315,-0.017,-0.955,-0.122,21140.0
0.315,-0.016,-0.955,-0.122,21158.0
0.315,-0.017,-0.956,-0.183,21178.0
0.312,-0.014,-0.956,-0.244,21200.0
0.313,-0.016,-0.958,-0.244,21218.0
0.311,-0.014,-0.957,-0.427,21237.0
0.312,-0.016,-0.956,-0.305,21257.0
0.314,-0.015,-0.958,0.061,21276.0
0.313,-0.015,-0.955,-0.244,21295.0
0.312,-0.015,-0.955,0.0,21317.0
0.31,-0.018,-0.957,-0.122,21337.0
0.314,-0.013,-0.955,-0.122,21357.0
0.31,-0.015,-0.958,-0.122,21380.0
0.311,-0.01,-0.958,-0.305,21401.0
0.314,-0.018,-0.954,-0.244,21421.0
