Time,X,Y,Z
30384,0.087891,1,0.08252
30416,0.087891,1,0.08252
30767,0.087891,1,0.08252
30858,0.087891,1,0.08252
30951,0.087891,1,0.08252
31051,0.087891,1,0.08252
31184,0.087891,1,0.08252
31214,0.087891,1,0.08252
31678,0.087891,1,0.08252
31774,0.087891,1,0.08252
32247,0.087891,1,0.08252
32285,0.087891,1,0.08252
32864,0.087891,1,0.08252
33115,0.087891,1,0.08252
33672,0.087891,1,0.08252
36899,0.087891,1,0.08252
36994,0.087891,1,0.08252
37093,0.087891,1,0.08252
37523,0.087891,1,0.08252
38029,0.087891,1,0.08252
38337,0.087891,1,0.08252
38647,0.087891,1,0.08252
38893,0.087891,1,0.08252
39773,0.087891,1,0.08252
40076,0.087891,1,0.08252
40177,0.087891,1,0.08252
40593,0.087891,1,0.08252
40900,0.087891,1,0.08252
41719,0.087891,1,0.08252
42533,0.087891,1,0.08252
42841,0.087891,1,0.08252
43151,0.087891,1,0.08252
43240,0.087891,1,0.08252
43340,0.087891,1,0.08252
43431,0.087891,1,0.08252
44682,0.087891,1,0.08252
45237,0.087891,1,0.08252
45332,0.087891,1,0.08252
45426,0.087891,1,0.08252
45707,0.087891,1,0.08252
45800,0.087891,1,0.08252
46019,0.087891,1,0.08252
46267,0.087891,1,0.08252
46573,0.087891,1,0.08252
47087,0.087891,1,0.08252
47181,0.087891,1,0.08252
47557,0.087891,1,0.08252
47654,0.087891,1,0.08252
47686,0.087891,1,0.08252
48113,0.087891,1,0.08252
48270,0.087891,1,0.08252
48367,0.087891,1,0.08252
48401,0.087891,1,0.08252
49403,0.087891,1,0.08252
49437,0.087891,1,0.08252
49526,0.087891,1,0.08252
49623,0.087891,1,0.08252
49804,0.087891,1,0.08252
50205,0.087891,1,0.08252
50302,0.087891,1,0.08252
50517,0.087891,1,0.08252
51032,0.087891,1,0.08252
51127,0.087891,1,0.08252
52005,0.087891,1,0.08252
52316,0.087891,1,0.08252
52569,0.087891,1,0.08252
52819,0.087891,1,0.08252
52914,0.087891,1,0.08252
53442,0.087891,1,0.08252
54103,0.087891,1,0.08252
54203,0.087891,1,0.08252
54234,0.087891,1,0.08252
54388,0.087891,1,0.08252
54729,0.087891,1,0.08252
55226,0.087891,1,0.08252
55322,0.087891,1,0.08252
55856,0.087891,1,0.08252
55954,0.087891,1,0.08252
56516,0.087891,1,0.08252
56828,0.087891,1,0.08252
57274,0.087891,1,0.08252
57629,0.087891,1,0.08252
57719,0.087891,1,0.08252
58254,0.087891,1,0.08252
58286,0.087891,1,0.08252
58818,0.087891,1,0.08252
59479,0.087891,1,0.08252
59998,0.087891,1,0.08252
60245,0.087891,1,0.08252
60345,0.087891,1,0.08252
60444,0.087891,1,0.08252
60656,0.087891,1,0.08252
60750,0.087891,1,0.08252
60845,0.087891,1,0.08252
61222,0.087891,1,0.08252
61522,0.087891,1,0.08252
61622,0.087891,1,0.08252
61882,0.087891,1,0.08252
62706,0.087891,1,0.08252
62801,0.087891,1,0.08252
63837,0.087891,1,0.08252
63929,0.087891,1,0.08252
64392,0.087891,1,0.08252
64486,0.087891,1,0.08252
64579,0.087891,1,0.08252
65416,0.087891,1,0.08252
65725,0.087891,1,0.08252
65890,0.087891,1,0.08252
66234,0.087891,1,0.08252
66392,0.087891,1,0.08252
66489,0.087891,1,0.08252
66579,0.087891,1,0.08252
