Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
0.015,-0.005,1.003,-0.183,138879
0.014,-0.005,1.0,-0.122,138903
0.015,-0.005,1.002,-0.061,138929
0.015,-0.006,1.002,-0.244,138956
0.014,-0.005,1.002,-0.305,138982
0.014,-0.004,1.001,-0.183,139008
0.015,-0.006,1.004,-0.244,139035
0.013,-0.006,1.002,-0.183,139060
0.014,-0.006,1.003,-0.305,139086
0.015,-0.005,1.003,-0.244,139111
0.015,-0.007,1.001,-0.183,139138
0.015,-0.005,1.003,-0.244,139164
0.014,-0.007,1.002,-0.122,139189
0.012,-0.005,1.005,-0.305,139214
0.014,-0.005,1.002,-0.122,139239
0.015,-0.004,1.003,0.0,139265
0.014,-0.006,1.003,-0.244,139289
0.014,-0.005,1.003,-0.244,139313
0.015,-0.005,1.001,-0.122,139338
0.014,-0.007,1.002,-0.366,139364
0.014,-0.005,1.005,-0.244,139388
0.014,-0.006,1.003,-0.244,139412
0.013,-0.006,1.001,-0.305,139438
0.012,-0.005,1.003,-0.244,139462
0.015,-0.005,1.003,-0.305,139486
0.014,-0.005,1.002,-0.244,139513
0.013,-0.007,1.001,-0.122,139539
0.013,-0.005,1.003,-0.122,139564
0.015,-0.006,1.002,-0.244,139589
0.014,-0.007,1.002,-0.122,139614
0.015,-0.006,1.004,-0.122,139642
0.015,-0.005,1.002,-0.122,139667
0.014,-0.006,1.002,-0.305,139693
0.015,-0.006,0.999,-0.183,139718
0.014,-0.005,1.003,-0.061,139744
0.014,-0.006,1.002,-0.244,139768
0.015,-0.006,1.0,-0.244,139791
0.014,-0.005,1.004,-0.122,139814
0.012,-0.006,1.003,-0.305,139840
0.015,-0.004,1.001,-0.244,139864
0.016,-0.006,1.003,-0.183,139890
0.014,-0.006,1.002,-0.244,139916
0.013,-0.005,1.002,-0.305,139941
0.014,-0.004,1.002,-0.305,139966
0.014,-0.006,1.003,-0.244,139990
0.014,-0.005,1.002,-0.061,140013
0.014,-0.007,1.002,-0.122,140041
0.015,-0.008,1.002,-0.244,140066
0.015,-0.006,1.003,-0.244,140093
0.015,-0.004,1.002,-0.183,140118
0.014,-0.004,1.002,-0.244,140143
0.015,-0.005,1.003,-0.305,140167
0.014,-0.006,1.002,-0.244,140194
0.013,-0.007,1.002,-0.244,140219
0.012,-0.004,1.002,-0.366,140242
0.014,-0.006,1.002,-0.305,140269
0.015,-0.006,1.002,-0.366,140294
0.014,-0.006,1.005,-0.183,140317
0.014,-0.005,1.001,-0.061,140344
0.015,-0.006,1.003,-0.183,140369
0.013,-0.003,1.003,-0.305,140395
0.014,-0.004,1.002,-0.366,140423
0.013,-0.005,1.003,-0.183,140447
0.013,-0.005,1.003,-0.183,140474
0.014,-0.005,1.002,-0.244,140498
0.015,-0.005,1.003,-0.122,140524
0.014,-0.004,1.002,-0.183,140550
0.014,-0.006,1.002,-0.244,140575
0.014,-0.004,1.001,-0.183,140600
0.013,-0.006,1.002,-0.244,140627
0.013,-0.005,1.004,-0.183,140652
0.014,-0.006,1.002,-0.305,140677
0.015,-0.005,1.002,-0.183,140701
0.014,-0.004,1.004,-0.122,140726
0.012,-0.004,1.003,-0.122,140750
0.015,-0.006,1.001,-0.305,140776
0.014,-0.007,1.002,-0.122,140801
0.015,-0.004,1.002,0.0,140828
0.014,-0.005,1.003,-0.183,140853
0.016,-0.006,1.002,-0.122,140879
0.013,-0.006,1.004,-0.244,140903
0.015,-0.008,1.002,-0.244,140932
0.014,-0.005,1.003,-0.061,140956
0.014,-0.005,1.001,-0.244,140981
0.014,-0.006,1.003,-0.305,141004
0.015,-0.006,1.004,-0.183,141029
0.015,-0.005,1.001,-0.183,141054
0.016,-0.005,1.002,-0.122,141080
0.014,-0.004,1.005,-0.305,141103
0.014,-0.006,1.003,-0.244,141131
0.013,-0.005,1.004,-0.244,141156
0.015,-0.004,1.001,-0.183,141179
0.015,-0.007,1.003,-0.244,141205
0.012,-0.006,1.004,-0.183,141234
0.014,-0.006,1.002,-0.183,141259
0.014,-0.005,1.002,-0.122,141283
0.016,-0.005,1.002,-0.183,141306
0.014,-0.006,1.004,-0.244,141332
0.014,-0.004,1.004,-0.305,141356
0.015,-0.006,1.003,-0.244,141381
0.015,-0.005,1.002,-0.122,141406
0.016,-0.005,1.002,-0.061,141430
0.014,-0.005,1.002,-0.061,141453
0.014,-0.006,1.004,-0.244,141479
0.016,-0.007,1.001,-0.183,141505
0.014,-0.004,1.003,-0.122,141532
0.015,-0.005,1.001,-0.183,141557
0.013,-0.008,1.003,-0.244,141582
0.013,-0.004,1.002,-0.244,141607
0.014,-0.005,1.004,-0.366,141634
0.014,-0.006,1.002,-0.122,141659
0.015,-0.005,1.002,-0.244,141684
0.015,-0.006,1.002,-0.122,141708
0.015,-0.005,1.002,-0.244,141731
0.015,-0.005,1.003,-0.122,141754
0.013,-0.006,1.003,-0.244,141780
0.015,-0.005,1.003,-0.183,141808
0.012,-0.004,1.004,-0.122,141833
0.015,-0.006,1.001,-0.183,141858
0.014,-0.005,1.002,-0.244,141883
0.013,-0.006,1.003,-0.244,141909
