Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
0.012,-0.001,1.002,-0.305,21258
0.013,-0.0,1.002,0.0,21285
0.012,0.001,1.005,-0.183,21314
0.013,-0.002,1.003,-0.183,21338
0.014,-0.0,1.001,-0.061,21365
0.013,-0.002,1.003,-0.244,21390
0.014,-0.002,1.002,-0.305,21418
0.013,-0.002,1.002,-0.305,21443
0.012,-0.002,1.001,-0.244,21469
0.014,-0.001,1.005,-0.061,21494
0.014,-0.002,1.001,-0.244,21519
0.015,-0.003,1.002,-0.183,21544
0.013,-0.001,1.004,-0.061,21569
0.013,-0.001,1.002,-0.122,21594
0.012,-0.002,1.003,-0.183,21620
0.012,-0.001,1.002,0.061,21644
0.014,-0.003,1.001,-0.061,21669
0.015,-0.002,1.003,-0.244,21695
0.014,-0.001,1.002,-0.183,21720
0.014,-0.001,1.003,-0.061,21745
0.013,-0.004,1.003,-0.183,21769
0.014,0.0,1.002,-0.244,21796
0.013,-0.002,1.002,-0.061,21823
0.015,-0.001,1.003,-0.244,21850
0.013,-0.002,1.003,-0.183,21878
0.014,-0.002,1.003,-0.122,21903
0.013,-0.003,1.004,-0.183,21929
0.014,-0.002,1.002,-0.183,21954
0.012,-0.002,1.002,-0.305,21980
0.012,-0.0,1.002,0.0,22004
0.013,-0.001,1.002,-0.183,22028
0.013,0.001,1.002,-0.244,22053
0.012,-0.001,1.003,-0.305,22078
0.013,-0.002,1.005,-0.183,22103
0.013,-0.001,1.001,-0.183,22130
0.012,-0.002,1.002,-0.305,22155
0.013,-0.002,1.002,-0.122,22181
0.013,-0.002,1.0,-0.183,22210
0.014,-0.002,1.003,-0.183,22234
0.013,-0.002,1.003,-0.183,22258
0.015,-0.003,1.004,-0.183,22283
0.014,-0.001,1.001,-0.183,22306
0.012,-0.001,1.002,0.0,22331
0.016,-0.002,1.001,-0.122,22356
0.015,-0.001,1.003,-0.244,22383
0.012,-0.002,1.003,-0.183,22410
0.013,-0.002,1.001,-0.183,22435
0.013,-0.002,1.0,-0.305,22462
0.014,-0.002,1.003,-0.183,22491
0.015,-0.002,1.003,-0.244,22517
0.014,-0.0,1.002,-0.244,22542
0.013,-0.001,1.003,-0.244,22569
0.014,-0.003,1.003,-0.244,22593
0.012,-0.002,1.004,-0.244,22618
0.013,-0.002,1.003,-0.183,22644
0.014,-0.001,1.004,-0.122,22668
0.014,-0.0,1.004,-0.244,22693
0.014,-0.001,1.004,-0.122,22719
0.014,-0.003,1.002,-0.244,22745
0.013,-0.002,1.002,-0.244,22769
0.014,-0.001,1.003,-0.305,22796
0.013,-0.001,1.0,-0.183,22821
0.013,-0.002,1.001,-0.305,22848
0.015,-0.002,1.002,-0.183,22876
0.013,-0.001,1.0,-0.183,22902
0.013,-0.001,1.002,-0.122,22929
0.015,-0.003,1.001,-0.244,22952
0.015,-0.001,1.001,-0.244,22975
0.014,-0.002,1.002,-0.244,23000
0.013,-0.001,1.003,-0.122,23025
0.014,-0.0,1.001,-0.244,23050
0.014,-0.001,1.001,-0.244,23078
0.015,-0.003,1.002,-0.183,23104
0.014,-0.001,1.001,-0.305,23132
0.016,-0.002,1.003,-0.183,23156
0.014,-0.001,1.002,-0.244,23181
0.013,-0.002,1.002,-0.183,23205
0.014,-0.002,1.003,-0.122,23231
0.014,-0.001,1.003,-0.244,23257
0.013,-0.002,1.002,-0.244,23282
0.012,-0.001,1.002,-0.061,23308
0.014,-0.001,1.004,-0.305,23334
0.011,-0.003,1.002,-0.122,23360
0.013,-0.002,1.003,-0.122,23385
0.012,-0.002,1.0,-0.305,23411
0.014,-0.002,1.003,-0.183,23437
0.013,-0.003,1.002,-0.183,23464
0.014,-0.0,1.004,-0.122,23489
0.015,-0.001,1.002,-0.305,23514
0.012,-0.002,1.003,-0.244,23539
0.014,-0.002,1.004,-0.122,23566
0.015,0.0,1.001,-0.244,23590
0.014,-0.002,1.003,-0.183,23616
0.014,-0.002,1.002,-0.244,23642
0.014,-0.001,1.002,-0.305,23668
0.016,-0.002,1.002,-0.183,23692
0.014,-0.002,1.003,-0.183,23717
0.012,-0.002,1.001,-0.183,23744
0.014,-0.001,1.002,-0.122,23767
0.013,-0.001,1.001,-0.122,23793
0.015,-0.002,1.001,-0.244,23818
0.014,-0.001,1.001,-0.244,23841
0.014,-0.002,1.002,-0.183,23866
0.013,-0.003,1.005,-0.244,23891
0.013,-0.001,1.002,-0.244,23915
0.014,-0.001,1.0,-0.183,23941
0.015,-0.001,1.003,-0.305,23966
0.013,-0.001,1.002,-0.244,23989
0.014,-0.002,1.006,-0.366,24015
0.014,0.0,1.0,-0.305,24039
0.012,-0.002,1.004,-0.183,24064
0.013,0.0,1.002,-0.183,24089
0.014,-0.002,1.0,-0.244,24114
0.014,-0.001,0.999,-0.244,24137
0.015,-0.003,1.005,-0.061,24161
0.013,-0.001,0.998,-0.244,24188
0.013,-0.002,1.005,-0.366,24212
0.014,-0.003,1.004,-0.183,24238
0.014,-0.001,1.002,-0.122,24261
0.013,-0.0,1.002,-0.061,24285
0.013,-0.002,1.001,-0.183,24314
