Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
0.015,-0.002,1.002,-0.122,78896
0.014,-0.002,1.002,-0.244,78922
0.014,-0.002,1.002,-0.244,78946
0.013,-0.002,1.002,-0.244,78970
0.013,-0.003,1.0,-0.183,78994
0.015,-0.004,1.002,-0.183,79022
0.013,-0.002,1.002,-0.244,79046
0.014,-0.001,1.003,-0.183,79073
0.014,0.0,1.003,-0.183,79098
0.015,-0.002,1.002,-0.122,79124
0.014,0.0,1.002,-0.183,79152
0.012,-0.001,1.002,-0.244,79180
0.016,-0.003,1.002,-0.305,79206
0.014,-0.002,1.002,-0.244,79230
0.013,-0.001,1.003,-0.183,79256
0.016,-0.001,1.003,-0.183,79282
0.014,-0.001,1.0,-0.122,79306
0.014,-0.002,1.003,-0.244,79332
0.014,-0.0,1.001,-0.061,79357
0.014,-0.002,1.004,-0.305,79384
0.016,-0.001,1.0,-0.244,79408
0.016,-0.002,1.002,-0.122,79433
0.014,-0.002,1.005,-0.244,79458
0.014,-0.0,1.004,-0.244,79483
0.015,-0.002,1.003,-0.183,79507
0.015,-0.0,1.003,-0.183,79533
0.015,-0.001,1.003,-0.122,79560
0.015,-0.002,1.002,-0.244,79586
0.015,-0.001,1.004,-0.305,79611
0.013,-0.0,1.002,-0.061,79638
0.014,-0.002,1.002,-0.366,79662
0.016,-0.003,1.002,-0.305,79686
0.012,-0.003,1.002,-0.061,79713
0.017,0.0,1.003,-0.061,79738
0.013,-0.0,1.001,-0.305,79763
0.013,-0.002,1.002,-0.183,79788
0.014,-0.001,1.003,-0.061,79812
0.014,-0.002,1.002,-0.366,79837
0.014,-0.003,1.003,-0.122,79863
0.014,-0.001,1.002,-0.122,79888
0.015,-0.0,1.004,-0.244,79912
0.015,-0.0,1.002,-0.183,79937
0.012,-0.001,1.002,-0.244,79964
0.014,-0.001,1.002,-0.183,79992
0.017,-0.0,1.003,-0.305,80018
0.015,-0.002,1.003,-0.122,80042
0.013,-0.001,1.003,-0.183,80071
0.014,-0.0,1.003,-0.061,80097
0.014,0.0,1.002,-0.244,80122
0.015,-0.001,1.003,-0.183,80147
0.014,-0.001,1.002,-0.061,80173
0.014,-0.0,1.001,-0.427,80196
0.014,-0.002,1.004,-0.183,80220
0.012,-0.002,1.002,-0.244,80246
0.015,-0.001,1.001,-0.305,80275
0.014,-0.0,1.003,-0.183,80299
0.014,-0.002,1.004,-0.305,80323
0.013,-0.002,1.004,-0.183,80348
0.014,-0.002,1.001,-0.183,80374
0.016,-0.001,1.001,-0.244,80403
0.014,-0.001,1.002,-0.244,80428
0.014,-0.001,1.002,-0.122,80453
0.015,-0.001,1.001,-0.244,80478
0.016,0.001,1.003,-0.183,80502
0.016,-0.001,1.001,-0.122,80526
0.015,-0.002,1.004,-0.305,80551
0.017,-0.001,1.002,-0.061,80575
0.014,-0.001,1.003,-0.122,80602
0.014,-0.001,1.002,-0.122,80629
0.013,-0.002,1.002,-0.122,80655
0.016,-0.001,1.004,-0.122,80680
0.013,-0.001,1.002,-0.244,80704
0.013,-0.0,1.002,-0.244,80732
0.015,-0.001,1.0,-0.244,80759
0.014,0.0,1.004,-0.244,80783
0.013,-0.002,1.002,-0.183,80807
0.014,-0.001,1.004,-0.183,80830
0.015,-0.001,1.002,-0.244,80854
0.014,-0.001,1.003,-0.305,80881
0.014,-0.001,1.002,-0.305,80906
0.015,-0.001,1.002,-0.183,80932
0.014,-0.001,1.002,-0.183,80959
0.014,-0.001,1.002,-0.305,80989
0.016,-0.0,1.003,-0.061,81015
0.014,-0.0,1.002,-0.244,81042
0.016,-0.002,1.001,-0.305,81067
0.013,-0.001,1.003,-0.122,81094
0.013,-0.002,1.002,-0.244,81121
0.014,-0.001,1.002,-0.183,81145
0.015,-0.001,1.001,-0.366,81171
0.014,0.0,1.004,-0.305,81196
0.014,-0.001,1.003,-0.122,81220
0.015,-0.001,1.002,-0.427,81244
0.016,0.0,1.002,-0.183,81270
0.014,-0.001,1.003,-0.183,81294
0.014,0.0,1.003,-0.488,81321
0.015,-0.002,1.0,-0.305,81345
0.014,-0.001,1.003,-0.183,81370
0.015,-0.002,1.002,-0.305,81396
0.014,-0.0,1.002,-0.366,81425
0.015,-0.0,1.003,-0.183,81449
0.015,-0.001,1.001,-0.183,81473
0.015,-0.001,1.003,-0.183,81498
0.016,-0.0,1.004,-0.183,81525
0.015,-0.001,1.003,-0.183,81551
0.014,-0.001,1.003,-0.244,81577
0.015,-0.002,1.003,-0.244,81601
0.014,-0.001,1.002,-0.183,81626
0.014,-0.001,1.002,-0.061,81650
0.013,-0.002,1.001,-0.244,81675
0.014,-0.0,1.001,-0.183,81699
0.015,-0.002,1.004,-0.244,81725
0.014,-0.001,1.001,-0.183,81750
0.016,-0.001,1.002,-0.244,81776
0.014,-0.001,1.003,-0.183,81804
0.014,-0.0,1.002,-0.244,81829
0.014,-0.002,1.002,-0.061,81854
0.014,-0.002,1.0,-0.305,81878
0.013,-0.002,1.003,-0.305,81903
0.014,-0.001,1.002,-0.183,81927
0.013,-0.001,1.004,-0.305,81953
0.014,-0.001,1.002,-0.061,81978
0.013,-0.001,1.001,-0.244,82003
0.014,-0.0,1.004,-0.183,82027
0.014,-0.001,1.005,-0.122,82050
0.016,-0.002,1.001,-0.183,82075
0.015,-0.001,1.002,-0.244,82102
0.016,-0.001,1.002,-0.244,82129
0.015,-0.002,1.004,-0.244,82156
0.015,-0.001,1.001,-0.244,82181
0.015,-0.001,1.002,-0.427,82207
0.015,-0.0,1.005,-0.183,82233
0.016,-0.0,1.002,-0.122,82258
0.014,-0.001,1.001,-0.244,82285
0.014,-0.0,1.003,-0.061,82310
0.015,-0.001,1.002,-0.183,82336
0.015,-0.002,1.002,-0.244,82359
0.014,-0.001,1.001,-0.244,82384
0.014,-0.001,1.002,-0.305,82409
0.014,-0.003,1.001,-0.183,82432
0.014,-0.0,1.003,-0.122,82456
0.014,-0.003,1.0,-0.244,82481
0.014,-0.002,1.003,-0.244,82507
0.013,-0.0,1.002,-0.183,82532
0.014,-0.001,1.002,-0.244,82561
0.015,-0.001,1.002,-0.244,82585
0.014,-0.001,1.005,-0.122,82612
0.013,-0.001,1.002,-0.122,82639
0.012,-0.0,1.003,-0.122,82665
0.013,-0.001,1.003,-0.061,82689
0.015,-0.001,1.003,-0.183,82715
0.015,-0.001,1.001,-0.244,82738
0.016,-0.0,1.003,-0.244,82764
0.016,-0.001,1.001,-0.244,82790
0.015,-0.002,1.003,-0.183,82815
0.015,-0.0,1.003,-0.305,82842
0.014,-0.001,1.002,-0.244,82867
0.015,-0.003,1.002,-0.183,82892
0.015,-0.001,1.003,-0.061,82919
0.015,-0.0,1.0,-0.305,82945
0.015,-0.001,1.002,-0.183,82970
0.015,-0.0,1.004,-0.122,82995
0.014,-0.001,1.001,-0.244,83021
0.014,-0.0,1.001,-0.122,83048
0.015,-0.001,1.003,-0.122,83073
0.014,-0.001,1.004,-0.122,83098
0.014,-0.001,1.001,-0.183,83122
0.014,-0.001,1.002,-0.122,83146
0.014,-0.001,1.003,-0.122,83171
0.013,-0.003,1.003,-0.061,83197
0.015,-0.001,1.0,-0.122,83224
0.014,-0.001,1.003,-0.305,83249
0.014,-0.002,1.003,-0.122,83277
0.015,-0.0,1.001,-0.122,83302
0.013,-0.001,1.001,-0.244,83325
0.013,-0.002,1.003,-0.183,83348
0.016,-0.002,1.003,-0.122,83372
0.013,-0.002,1.002,-0.122,83396
0.015,-0.001,1.003,-0.183,83423
0.014,-0.003,1.003,-0.061,83450
0.013,-0.001,1.004,-0.122,83478
0.014,0.0,1.002,-0.244,83502
0.017,-0.002,1.001,-0.122,83527
0.013,-0.0,1.004,-0.244,83552
0.015,-0.002,1.001,-0.244,83577
0.015,-0.001,1.003,-0.366,83602
0.014,-0.001,1.0,-0.305,83626
0.014,-0.001,1.003,-0.183,83649
0.014,0.0,1.002,-0.305,83675
0.013,-0.001,1.003,-0.305,83699
0.013,-0.001,1.0,-0.244,83722
0.014,-0.001,1.003,-0.122,83746
0.014,-0.003,1.001,-0.244,83771
0.014,-0.002,1.002,-0.183,83796
0.014,-0.0,1.003,-0.244,83821
0.014,-0.0,1.002,-0.244,83845
0.014,-0.0,1.001,-0.122,83869
0.014,0.0,1.003,-0.061,83892
0.015,-0.001,1.004,-0.244,83916
0.014,-0.001,1.002,-0.305,83942
0.014,0.0,1.001,-0.366,83967
0.013,-0.002,1.001,-0.183,83992
0.014,-0.0,1.001,-0.244,84019
0.014,-0.002,1.004,-0.244,84044
0.014,0.0,1.001,-0.122,84069
0.014,-0.002,1.001,-0.061,84095
