Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
0.005,0.346,0.939,-0.305,2321114
0.005,0.346,0.939,-0.183,2321118
0.005,0.345,0.934,-0.305,2321122
0.005,0.345,0.934,-0.305,2321126
0.005,0.345,0.934,-0.305,2321130
0.007,0.344,0.931,-0.305,2321134
0.007,0.344,0.931,-0.183,2321138
0.004,0.347,0.931,-0.183,2321142
0.004,0.347,0.931,-0.183,2321146
0.004,0.347,0.931,-0.244,2321150
0.001,0.347,0.93,-0.244,2321154
0.001,0.347,0.93,-0.183,2321158
-0.002,0.346,0.929,-0.244,2321162
-0.002,0.346,0.929,-0.244,2321166
-0.002,0.346,0.929,-0.122,2321170
-0.003,0.344,0.927,-0.244,2321174
-0.003,0.344,0.927,-0.244,2321178
-0.003,0.347,0.928,-0.183,2321182
-0.003,0.347,0.928,-0.183,2321186
-0.003,0.347,0.928,-0.122,2321190
-0.003,0.348,0.929,-0.061,2321194
-0.003,0.348,0.929,-0.244,2321198
-0.005,0.35,0.93,-0.305,2321202
-0.005,0.35,0.93,-0.305,2321206
-0.005,0.35,0.93,-0.183,2321210
-0.003,0.35,0.929,-0.122,2321214
-0.003,0.35,0.929,-0.244,2321218
-0.002,0.351,0.932,-0.183,2321221
-0.002,0.351,0.932,-0.183,2321225
-0.002,0.351,0.932,-0.183,2321229
-0.0,0.35,0.925,-0.183,2321233
-0.0,0.35,0.925,-0.122,2321237
0.001,0.35,0.932,-0.061,2321241
0.001,0.35,0.932,-0.061,2321245
0.001,0.35,0.932,-0.183,2321249
0.003,0.347,0.932,-0.183,2321253
0.003,0.347,0.932,-0.305,2321257
0.003,0.346,0.934,-0.061,2321261
0.003,0.346,0.934,-0.061,2321265
0.003,0.346,0.934,-0.122,2321269
0.007,0.342,0.934,-0.122,2321273
0.007,0.342,0.934,-0.183,2321277
0.006,0.343,0.933,-0.122,2321281
0.006,0.343,0.933,-0.122,2321285
0.006,0.343,0.933,-0.122,2321289
0.005,0.344,0.934,-0.122,2321293
0.005,0.344,0.934,-0.122,2321297
0.005,0.345,0.935,-0.183,2321301
0.005,0.345,0.935,-0.183,2321305
0.005,0.345,0.935,-0.122,2321309
0.009,0.344,0.934,-0.244,2321313
0.009,0.344,0.934,-0.183,2321317
0.01,0.345,0.935,-0.183,2321321
0.01,0.345,0.935,-0.183,2321325
0.01,0.345,0.935,-0.122,2321329
0.008,0.346,0.937,-0.305,2321333
0.008,0.346,0.937,-0.183,2321337
0.009,0.346,0.936,-0.183,2321341
0.009,0.346,0.936,-0.183,2321345
0.009,0.346,0.936,-0.244,2321349
0.011,0.346,0.935,-0.244,2321353
0.011,0.346,0.935,-0.244,2321357
0.008,0.345,0.936,-0.366,2321361
0.008,0.345,0.936,-0.366,2321365
0.008,0.345,0.936,-0.183,2321369
0.006,0.347,0.934,-0.061,2321373
0.006,0.347,0.934,-0.183,2321377
0.007,0.348,0.934,-0.183,2321381
0.007,0.348,0.934,-0.183,2321385
0.007,0.348,0.934,-0.183,2321389
0.006,0.348,0.933,-0.244,2321393
0.006,0.348,0.933,-0.366,2321397
0.002,0.348,0.93,-0.183,2321401
0.002,0.348,0.93,-0.183,2321405
0.002,0.348,0.93,-0.244,2321409
0.0,0.352,0.934,-0.305,2321413
0.0,0.352,0.934,-0.305,2321416
0.001,0.35,0.927,-0.244,2321420
0.001,0.35,0.927,-0.244,2321424
0.001,0.35,0.927,-0.183,2321428
0.0,0.348,0.923,-0.244,2321432
0.0,0.348,0.923,-0.183,2321436
-0.003,0.35,0.931,-0.183,2321440
-0.003,0.35,0.931,-0.183,2321444
-0.003,0.35,0.931,-0.122,2321448
-0.005,0.349,0.933,-0.183,2321452
-0.005,0.349,0.933,-0.244,2321456
-0.001,0.346,0.93,-0.244,2321460
-0.001,0.346,0.93,-0.244,2321464
-0.001,0.346,0.93,-0.061,2321468
-0.0,0.344,0.927,-0.244,2321472
-0.0,0.344,0.927,-0.061,2321476
0.0,0.347,0.931,-0.061,2321480
0.0,0.347,0.931,-0.061,2321484
0.0,0.347,0.931,-0.244,2321488
-0.003,0.346,0.934,-0.183,2321492
-0.003,0.346,0.934,0.0,2321496
-0.002,0.347,0.931,-0.061,2321500
-0.002,0.347,0.931,-0.061,2321504
-0.002,0.347,0.931,-0.183,2321508
-0.001,0.344,0.929,0.0,2321512
-0.001,0.344,0.929,-0.122,2321516
0.001,0.344,0.932,-0.122,2321520
0.001,0.344,0.932,-0.122,2321524
0.001,0.344,0.932,-0.061,2321528
0.0,0.346,0.937,-0.244,2321531
0.0,0.346,0.937,-0.061,2321535
0.003,0.346,0.932,-0.244,2321539
0.003,0.346,0.932,-0.244,2321543
0.003,0.346,0.932,-0.366,2321547
0.005,0.346,0.93,-0.244,2321551
0.005,0.346,0.93,-0.122,2321555
0.006,0.348,0.937,-0.183,2321559
0.006,0.348,0.937,-0.183,2321563
0.006,0.348,0.937,-0.183,2321567
0.009,0.349,0.937,-0.122,2321571
0.009,0.349,0.937,-0.183,2321575
0.009,0.346,0.932,-0.183,2321579
0.009,0.346,0.932,-0.183,2321583
0.009,0.346,0.932,-0.244,2321587
0.009,0.345,0.932,-0.183,2321591
0.009,0.345,0.932,-0.244,2321595
0.009,0.348,0.935,-0.244,2321599
0.009,0.348,0.935,-0.183,2321603
0.009,0.348,0.935,-0.183,2321607
0.009,0.349,0.933,-0.183,2321611
0.009,0.349,0.933,-0.244,2321615
0.006,0.347,0.933,-0.305,2321619
0.006,0.347,0.933,-0.183,2321623
0.006,0.347,0.933,-0.183,2321627
0.006,0.346,0.933,-0.183,2321631
0.006,0.346,0.933,-0.183,2321635
0.006,0.346,0.934,-0.183,2321639
0.006,0.346,0.934,-0.305,2321643
0.006,0.346,0.934,-0.305,2321647
0.005,0.345,0.933,-0.366,2321651
0.005,0.345,0.933,-0.183,2321655
0.003,0.346,0.931,-0.183,2321659
0.003,0.346,0.931,-0.183,2321663
0.003,0.346,0.931,-0.183,2321667
0.0,0.345,0.933,-0.183,2321671
0.0,0.345,0.933,-0.244,2321675
0.001,0.346,0.933,-0.305,2321679
0.001,0.346,0.933,-0.183,2321683
0.001,0.346,0.933,-0.183,2321687
-0.0,0.346,0.932,-0.122,2321691
-0.0,0.346,0.932,-0.183,2321695
-0.003,0.347,0.931,-0.122,2321699
-0.003,0.347,0.931,-0.183,2321703
-0.003,0.347,0.931,-0.183,2321707
-0.001,0.347,0.928,-0.183,2321711
-0.001,0.347,0.928,-0.305,2321714
-0.002,0.344,0.919,-0.305,2321718
-0.002,0.344,0.919,-0.061,2321722
-0.002,0.344,0.919,-0.061,2321726
-0.004,0.355,0.945,-0.244,2321730
-0.004,0.355,0.945,-0.305,2321734
-0.002,0.346,0.93,-0.244,2321738
-0.002,0.346,0.93,-0.244,2321742
-0.002,0.346,0.93,-0.244,2321746
0.002,0.344,0.922,-0.122,2321750
0.002,0.344,0.922,-0.061,2321754
0.002,0.349,0.935,-0.061,2321758
0.002,0.349,0.935,-0.183,2321762
0.002,0.349,0.935,-0.183,2321766
0.001,0.351,0.933,-0.122,2321770
0.001,0.351,0.933,-0.244,2321774
0.002,0.35,0.932,-0.427,2321778
0.002,0.35,0.932,-0.122,2321782
0.002,0.35,0.932,-0.122,2321786
0.005,0.342,0.921,-0.183,2321790
0.005,0.342,0.921,-0.183,2321794
0.004,0.348,0.936,-0.122,2321798
0.004,0.348,0.936,-0.305,2321802
0.004,0.348,0.936,-0.305,2321806
0.004,0.346,0.935,-0.183,2321810
0.004,0.346,0.935,-0.061,2321814
0.002,0.346,0.937,-0.305,2321818
0.002,0.346,0.937,-0.183,2321822
0.002,0.346,0.937,-0.183,2321826
0.008,0.343,0.933,-0.122,2321830
0.008,0.343,0.933,-0.305,2321834
0.006,0.344,0.933,-0.183,2321838
0.006,0.344,0.933,-0.183,2321842
0.006,0.344,0.933,-0.183,2321846
0.007,0.349,0.937,-0.122,2321850
0.007,0.349,0.937,-0.183,2321854
0.006,0.346,0.936,-0.122,2321858
0.006,0.346,0.936,-0.122,2321862
0.006,0.346,0.936,-0.122,2321866
0.007,0.343,0.926,-0.122,2321870
0.007,0.343,0.926,-0.183,2321874
0.005,0.346,0.936,-0.244,2321878
0.005,0.346,0.936,-0.244,2321882
0.005,0.346,0.936,-0.244,2321886
0.004,0.346,0.936,-0.244,2321890
0.004,0.346,0.936,-0.244,2321894
0.004,0.346,0.936,-0.183,2321898
0.004,0.346,0.936,-0.244,2321902
0.004,0.346,0.936,-0.244,2321905
0.006,0.344,0.931,-0.183,2321909
0.006,0.344,0.931,-0.122,2321913
0.006,0.345,0.933,-0.122,2321917
0.006,0.345,0.933,-0.183,2321921
0.006,0.345,0.933,-0.183,2321925
0.002,0.347,0.935,-0.122,2321929
0.002,0.347,0.935,-0.183,2321933
0.002,0.348,0.933,-0.244,2321937
0.002,0.348,0.933,-0.305,2321941
0.002,0.348,0.933,-0.305,2321945
0.001,0.347,0.93,-0.244,2321949
0.001,0.347,0.93,-0.122,2321953
0.002,0.347,0.93,-0.183,2321957
0.002,0.347,0.93,-0.244,2321961
0.002,0.347,0.93,-0.244,2321965
0.001,0.348,0.932,-0.244,2321969
0.001,0.348,0.932,-0.305,2321973
0.0,0.349,0.931,-0.122,2321977
0.0,0.349,0.931,-0.183,2321981
0.0,0.349,0.931,-0.183,2321985
-0.001,0.347,0.927,-0.122,2321989
-0.001,0.347,0.927,-0.183,2321993
-0.0,0.348,0.929,-0.122,2321997
-0.0,0.348,0.929,-0.122,2322001
-0.0,0.348,0.929,-0.122,2322005
-0.001,0.351,0.932,-0.122,2322009
-0.001,0.351,0.932,-0.183,2322013
-0.0,0.346,0.933,-0.183,2322017
-0.0,0.346,0.933,-0.183,2322021
-0.0,0.346,0.933,-0.183,2322025
0.002,0.345,0.929,-0.183,2322029
0.002,0.345,0.929,-0.244,2322033
0.003,0.346,0.928,-0.244,2322037
