Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
-0.195,-1.02,0.092,-18.066,1780789
-0.195,-1.02,0.092,-16.052,1780793
-0.094,-0.948,0.148,-11.597,1780797
-0.094,-0.948,0.148,-11.597,1780801
-0.094,-0.948,0.148,-5.31,1780805
-0.129,-0.973,0.139,-5.798,1780809
-0.129,-0.973,0.139,-7.141,1780813
-0.21,-1.042,0.016,-8.179,1780817
-0.21,-1.042,0.016,-8.179,1780821
-0.21,-1.042,0.016,-13.062,1780825
-0.289,-1.126,-0.034,-18.86,1780829
-0.289,-1.126,-0.034,-26.245,1780833
-0.304,-1.141,-0.019,-34.119,1780837
-0.304,-1.141,-0.019,-34.119,1780841
-0.304,-1.141,-0.019,-38.391,1780845
-0.217,-1.061,-0.024,-40.1,1780849
-0.217,-1.061,-0.024,-41.199,1780853
-0.131,-0.988,-0.055,-43.396,1780857
-0.131,-0.988,-0.055,-42.908,1780861
-0.131,-0.988,-0.055,-42.908,1780865
-0.062,-0.954,0.054,-39.673,1780869
-0.062,-0.954,0.054,-33.813,1780873
-0.083,-0.98,0.199,-32.166,1780877
-0.083,-0.98,0.199,-32.837,1780881
-0.083,-0.98,0.199,-32.837,1780885
-0.137,-1.018,0.136,-36.865,1780889
-0.137,-1.018,0.136,-36.56,1780894
-0.156,-1.011,-0.068,-42.908,1780898
-0.156,-1.011,-0.068,-48.828,1780902
-0.156,-1.011,-0.068,-48.828,1780906
-0.114,-0.973,-0.043,-48.828,1780910
-0.114,-0.973,-0.043,-47.791,1780914
-0.096,-0.97,0.046,-47.302,1780918
-0.096,-0.97,0.046,-47.424,1780922
-0.047,-0.97,0.094,-48.218,1780926
-0.047,-0.97,0.094,-48.218,1780930
-0.047,-0.97,0.094,-41.992,1780934
0.056,-0.964,-0.167,-23.56,1780938
0.056,-0.964,-0.167,-25.879,1780942
-0.006,-0.795,0.15,-32.654,1780946
-0.006,-0.795,0.15,-32.654,1780950
-0.006,-0.795,0.15,-42.847,1780954
0.052,-0.727,0.622,-44.922,1780958
0.052,-0.727,0.622,-38.452,1780962
0.069,-0.844,0.435,-32.532,1780966
0.069,-0.844,0.435,-32.532,1780970
0.069,-0.844,0.435,-22.949,1780974
-0.011,-0.907,0.165,-15.686,1780978
-0.011,-0.907,0.165,-16.296,1780982
-0.098,-0.908,0.14,-23.499,1780986
-0.098,-0.908,0.14,-23.499,1780990
-0.098,-0.908,0.14,-21.301,1780994
-0.07,-0.907,0.339,-14.526,1780998
-0.07,-0.907,0.339,-13.428,1781002
-0.08,-0.854,0.611,-10.681,1781006
-0.08,-0.854,0.611,-10.681,1781010
-0.08,-0.854,0.611,-1.404,1781014
-0.006,-0.789,0.795,14.343,1781018
-0.006,-0.789,0.795,20.264,1781022
-0.029,-0.744,0.981,12.085,1781026
-0.029,-0.744,0.981,0.244,1781030
-0.029,-0.744,0.981,0.244,1781034
0.036,-0.688,1.122,-4.395,1781038
0.036,-0.688,1.122,-5.31,1781042
0.053,-0.745,0.858,-7.324,1781046
0.053,-0.745,0.858,-19.775,1781050
0.053,-0.745,0.858,-19.775,1781054
0.073,-0.787,0.723,-21.423,1781058
0.073,-0.787,0.723,-7.69,1781062
0.085,-0.803,0.331,1.343,1781066
0.085,-0.803,0.331,-2.991,1781070
0.085,-0.803,0.331,-2.991,1781074
0.021,-0.843,0.349,-0.854,1781078
0.021,-0.843,0.349,13.489,1781082
0.006,-0.847,0.673,23.621,1781086
0.006,-0.847,0.673,23.865,1781090
0.006,-0.847,0.673,23.865,1781094
-0.173,-0.932,0.521,16.357,1781098
-0.173,-0.932,0.521,7.874,1781102
-0.131,-0.956,0.535,11.78,1781106
-0.131,-0.956,0.535,25.574,1781110
-0.131,-0.956,0.535,25.574,1781114
-0.03,-0.874,0.65,38.757,1781118
-0.03,-0.874,0.65,44.678,1781122
-0.046,-0.805,0.733,43.884,1781126
-0.046,-0.805,0.733,38.33,1781129
-0.046,-0.805,0.733,38.33,1781134
0.007,-0.753,0.741,35.217,1781138
0.007,-0.753,0.741,34.058,1781141
0.079,-0.667,0.714,37.17,1781145
0.079,-0.667,0.714,43.579,1781149
0.079,-0.667,0.714,43.579,1781153
0.072,-0.686,0.625,57.373,1781157
0.072,-0.686,0.625,70.068,1781161
-0.099,-0.752,0.66,69.031,1781165
-0.099,-0.752,0.66,50.11,1781169
-0.099,-0.752,0.66,50.11,1781173
-0.224,-0.788,0.705,30.09,1781177
-0.224,-0.788,0.705,16.357,1781182
-0.142,-0.786,0.65,9.399,1781186
-0.142,-0.786,0.65,9.277,1781190
-0.029,-0.732,0.562,13.794,1781194
-0.029,-0.732,0.562,13.794,1781198
-0.029,-0.732,0.562,19.104,1781202
0.017,-0.693,0.531,25.94,1781206
0.017,-0.693,0.531,34.668,1781210
0.04,-0.658,0.522,42.358,1781214
0.04,-0.658,0.522,42.358,1781218
