Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
0.009,0.313,0.945,-0.366,1737075
0.009,0.313,0.945,-0.244,1737079
0.01,0.314,0.947,-0.244,1737083
0.01,0.314,0.947,-0.305,1737087
0.01,0.314,0.947,-0.305,1737091
0.01,0.313,0.946,-0.183,1737095
0.01,0.313,0.946,-0.183,1737099
0.008,0.312,0.945,-0.122,1737103
0.008,0.312,0.945,-0.244,1737107
0.008,0.313,0.945,-0.305,1737111
0.008,0.313,0.945,-0.305,1737115
0.008,0.313,0.945,-0.183,1737119
0.007,0.313,0.944,-0.305,1737123
0.007,0.313,0.944,-0.183,1737127
0.005,0.314,0.946,-0.183,1737131
0.005,0.314,0.946,-0.183,1737135
0.005,0.314,0.946,-0.244,1737139
0.006,0.314,0.947,-0.366,1737143
0.006,0.314,0.947,-0.305,1737147
0.008,0.313,0.944,-0.305,1737151
0.008,0.313,0.944,-0.305,1737155
0.008,0.313,0.944,-0.366,1737159
0.008,0.313,0.948,-0.244,1737163
0.008,0.313,0.948,-0.244,1737167
0.008,0.311,0.947,-0.183,1737171
0.008,0.311,0.947,-0.183,1737175
0.008,0.311,0.947,-0.183,1737178
0.008,0.311,0.946,-0.244,1737182
0.008,0.311,0.946,-0.366,1737186
0.009,0.313,0.947,-0.183,1737190
0.009,0.313,0.947,-0.183,1737194
0.009,0.313,0.947,-0.183,1737198
0.008,0.314,0.945,-0.061,1737202
0.008,0.314,0.945,-0.122,1737206
0.008,0.313,0.945,-0.305,1737210
0.008,0.313,0.945,-0.305,1737214
0.008,0.313,0.945,-0.183,1737218
0.008,0.313,0.944,-0.122,1737222
0.008,0.313,0.944,-0.122,1737226
0.007,0.315,0.945,-0.183,1737230
0.007,0.315,0.945,-0.183,1737234
0.007,0.315,0.945,-0.305,1737238
0.008,0.315,0.944,-0.244,1737242
0.008,0.315,0.944,-0.183,1737246
0.007,0.317,0.942,-0.122,1737250
0.007,0.317,0.942,-0.122,1737254
0.007,0.317,0.942,-0.183,1737258
0.006,0.316,0.944,-0.183,1737262
0.006,0.316,0.944,-0.305,1737266
0.005,0.315,0.945,-0.366,1737270
0.005,0.315,0.945,-0.366,1737274
0.005,0.315,0.945,-0.244,1737278
0.005,0.316,0.942,-0.305,1737282
0.005,0.316,0.942,-0.244,1737286
0.007,0.314,0.942,-0.244,1737290
0.007,0.314,0.942,-0.244,1737294
0.007,0.314,0.942,-0.244,1737298
0.004,0.314,0.942,-0.366,1737302
0.004,0.314,0.942,-0.183,1737306
0.004,0.315,0.944,-0.183,1737310
0.004,0.315,0.944,-0.183,1737314
0.004,0.315,0.944,-0.305,1737318
0.006,0.315,0.943,-0.122,1737322
0.006,0.315,0.943,-0.061,1737326
0.005,0.315,0.943,-0.244,1737330
0.005,0.315,0.943,-0.244,1737334
0.005,0.315,0.943,-0.244,1737338
0.003,0.313,0.943,-0.244,1737342
0.003,0.313,0.943,-0.244,1737346
0.004,0.312,0.945,-0.183,1737350
0.004,0.312,0.945,-0.183,1737354
0.004,0.312,0.945,-0.122,1737358
0.005,0.312,0.945,-0.122,1737362
0.005,0.312,0.945,-0.244,1737366
0.007,0.313,0.947,-0.122,1737370
0.007,0.313,0.947,-0.244,1737374
0.007,0.313,0.947,-0.244,1737378
0.006,0.312,0.948,-0.244,1737382
0.006,0.312,0.948,-0.183,1737386
0.008,0.311,0.946,-0.122,1737390
0.008,0.311,0.946,-0.122,1737394
0.008,0.311,0.946,-0.122,1737398
0.008,0.313,0.945,-0.183,1737402
0.008,0.313,0.945,-0.183,1737405
0.009,0.313,0.947,-0.183,1737409
0.009,0.313,0.947,-0.305,1737413
0.009,0.313,0.947,-0.305,1737417
0.01,0.313,0.946,-0.183,1737421
0.01,0.313,0.946,-0.183,1737425
0.011,0.313,0.946,-0.183,1737429
0.011,0.313,0.946,-0.244,1737433
0.011,0.313,0.946,-0.244,1737437
0.01,0.314,0.945,-0.122,1737441
0.01,0.314,0.945,-0.183,1737445
0.01,0.315,0.946,-0.183,1737449
0.01,0.315,0.946,-0.183,1737453
0.01,0.315,0.946,-0.183,1737457
0.011,0.315,0.946,-0.244,1737461
0.011,0.315,0.946,-0.183,1737465
0.009,0.315,0.946,-0.244,1737469
0.009,0.315,0.946,-0.305,1737473
0.009,0.315,0.946,-0.305,1737477
0.007,0.316,0.945,-0.244,1737481
0.007,0.316,0.945,-0.366,1737485
0.006,0.314,0.944,-0.366,1737489
0.006,0.314,0.944,-0.183,1737493
0.006,0.314,0.944,-0.183,1737497
0.005,0.314,0.944,-0.244,1737501
0.005,0.314,0.944,-0.366,1737505
0.007,0.315,0.943,-0.305,1737509
0.007,0.315,0.943,-0.122,1737513
0.007,0.315,0.943,-0.122,1737517
0.004,0.312,0.944,-0.122,1737521
0.004,0.312,0.944,-0.244,1737525
0.004,0.312,0.945,-0.244,1737529
0.004,0.312,0.945,-0.183,1737533
0.004,0.312,0.945,-0.183,1737537
0.006,0.314,0.945,-0.305,1737541
0.006,0.314,0.945,-0.183,1737545
0.007,0.314,0.944,-0.183,1737549
0.007,0.314,0.944,-0.244,1737553
0.007,0.314,0.944,-0.244,1737557
0.006,0.312,0.945,-0.183,1737561
0.006,0.312,0.945,-0.061,1737565
0.005,0.313,0.945,-0.183,1737569
0.005,0.313,0.945,-0.183,1737573
0.005,0.313,0.945,-0.183,1737577
0.007,0.314,0.945,-0.122,1737581
0.007,0.314,0.945,-0.122,1737585
0.008,0.312,0.946,-0.183,1737589
0.008,0.312,0.946,-0.122,1737593
0.008,0.312,0.946,-0.122,1737597
0.007,0.314,0.944,0.0,1737601
0.007,0.314,0.944,-0.061,1737605
0.009,0.313,0.946,-0.183,1737609
0.009,0.313,0.946,-0.183,1737613
0.011,0.315,0.947,-0.122,1737617
0.011,0.315,0.947,-0.122,1737621
0.011,0.315,0.947,-0.122,1737625
0.01,0.315,0.946,-0.122,1737629
0.01,0.315,0.946,-0.122,1737633
0.01,0.316,0.941,-0.183,1737637
0.01,0.316,0.941,-0.183,1737641
0.01,0.316,0.941,-0.305,1737645
0.011,0.315,0.943,-0.366,1737649
0.011,0.315,0.943,-0.061,1737653
0.009,0.312,0.942,0.0,1737656
0.009,0.312,0.942,0.0,1737660
0.009,0.312,0.942,-0.122,1737664
0.01,0.309,0.934,-0.122,1737668
0.01,0.309,0.934,-0.122,1737672
0.008,0.298,0.909,-0.061,1737676
0.008,0.298,0.909,-0.061,1737680
0.008,0.298,0.909,0.122,1737684
0.001,0.301,0.924,0.183,1737688
0.001,0.301,0.924,0.061,1737692
-0.004,0.343,1.038,0.061,1737696
-0.004,0.343,1.038,0.061,1737700
-0.004,0.343,1.038,-0.061,1737704
-0.0,0.338,0.998,-0.183,1737708
-0.0,0.338,0.998,-0.244,1737712
0.007,0.295,0.862,-0.366,1737716
0.007,0.295,0.862,-0.366,1737720
0.007,0.295,0.862,-0.061,1737724
0.016,0.309,0.903,0.305,1737728
0.016,0.309,0.903,-0.122,1737732
0.009,0.338,0.982,-0.183,1737736
0.009,0.338,0.982,-0.183,1737740
0.009,0.338,0.982,-1.038,1737744
0.005,0.325,0.943,-1.038,1737748
0.005,0.325,0.943,-0.427,1737752
0.016,0.31,0.943,-0.305,1737756
0.016,0.31,0.943,-0.305,1737760
0.016,0.31,0.943,-0.305,1737764
0.012,0.312,0.952,-0.244,1737768
0.012,0.312,0.952,-0.244,1737772
0.008,0.306,0.943,0.0,1737776
0.008,0.306,0.943,0.0,1737780
0.008,0.306,0.943,0.0,1737783
0.004,0.317,0.944,-0.366,1737787
0.004,0.317,0.944,-0.427,1737791
0.01,0.31,0.948,-0.427,1737795
0.01,0.31,0.948,-0.427,1737799
0.01,0.31,0.948,-0.122,1737803
0.011,0.308,0.948,0.0,1737807
0.011,0.308,0.948,-0.061,1737811
0.007,0.314,0.946,-0.183,1737815
0.007,0.314,0.946,-0.183,1737819
0.007,0.314,0.946,0.0,1737823
0.0,0.313,0.94,0.0,1737827
0.0,0.313,0.94,-0.183,1737831
0.002,0.314,0.945,-0.305,1737835
0.002,0.314,0.945,-0.305,1737839
0.002,0.314,0.945,-0.183,1737843
0.008,0.309,0.946,-0.183,1737847
0.008,0.309,0.946,-0.366,1737851
0.011,0.308,0.946,-0.183,1737855
0.011,0.308,0.946,-0.183,1737859
0.011,0.308,0.946,-0.122,1737863
0.007,0.313,0.952,-0.122,1737867
0.007,0.313,0.952,-0.122,1737871
0.005,0.309,0.949,-0.183,1737875
0.005,0.309,0.949,-0.183,1737879
0.005,0.309,0.949,-0.122,1737883
0.004,0.305,0.938,-0.305,1737887
0.004,0.305,0.938,0.0,1737891
0.005,0.31,0.947,-0.061,1737895
0.005,0.31,0.947,-0.061,1737899
0.005,0.31,0.947,-0.244,1737903
0.009,0.312,0.956,-0.305,1737907
0.009,0.312,0.956,-0.183,1737911
0.012,0.31,0.946,-0.183,1737915
0.012,0.31,0.946,-0.183,1737919
0.012,0.31,0.946,-0.183,1737923
0.011,0.311,0.943,-0.244,1737927
0.011,0.311,0.943,-0.122,1737931
0.01,0.312,0.946,-0.122,1737935
0.01,0.312,0.946,-0.122,1737939
0.01,0.312,0.946,-0.183,1737943
0.01,0.317,0.95,-0.183,1737947
0.01,0.317,0.95,-0.244,1737951
0.01,0.317,0.951,-0.183,1737954
0.01,0.317,0.951,-0.183,1737958
0.01,0.317,0.951,-0.244,1737962
0.013,0.314,0.944,-0.183,1737966
0.013,0.314,0.944,-0.183,1737970
0.015,0.314,0.941,-0.305,1737974
0.015,0.314,0.941,-0.305,1737978
0.015,0.314,0.941,-0.122,1737982
0.015,0.317,0.945,-0.061,1737986
0.015,0.317,0.945,-0.183,1737990
0.012,0.318,0.951,-0.122,1737994
0.012,0.318,0.951,-0.122,1737998
0.012,0.318,0.951,-0.244,1738002
0.008,0.315,0.945,-0.305,1738006
0.008,0.315,0.945,-0.183,1738010
0.008,0.314,0.94,-0.183,1738014
0.008,0.314,0.94,-0.183,1738018
0.008,0.314,0.94,-0.122,1738022
0.008,0.314,0.942,-0.244,1738026
0.008,0.314,0.942,-0.244,1738030
0.007,0.313,0.945,-0.244,1738034
0.007,0.313,0.945,-0.244,1738038
0.007,0.313,0.945,-0.244,1738042
0.003,0.312,0.944,-0.244,1738046
0.003,0.312,0.944,-0.305,1738050
0.0,0.311,0.943,-0.244,1738054
0.0,0.311,0.943,-0.244,1738058
0.0,0.311,0.943,-0.183,1738062
-0.0,0.31,0.944,-0.305,1738066
-0.0,0.31,0.944,-0.305,1738070
0.001,0.309,0.946,-0.122,1738074
0.001,0.309,0.946,-0.122,1738078
0.001,0.309,0.946,-0.122,1738082
0.004,0.308,0.945,-0.244,1738086
0.004,0.308,0.945,-0.183,1738090
0.005,0.31,0.943,-0.244,1738094
0.005,0.31,0.943,-0.244,1738098
0.005,0.31,0.943,-0.183,1738102
0.006,0.312,0.945,-0.122,1738106
0.006,0.312,0.945,-0.183,1738110
0.007,0.314,0.944,-0.244,1738114
0.007,0.314,0.944,-0.244,1738118
0.007,0.314,0.944,-0.122,1738122
0.007,0.316,0.944,-0.122,1738126
0.007,0.316,0.944,-0.183,1738129
0.011,0.318,0.943,-0.122,1738133
0.011,0.318,0.943,-0.183,1738137
0.011,0.318,0.943,-0.183,1738141
0.011,0.318,0.944,-0.183,1738145
0.011,0.318,0.944,-0.183,1738149
0.013,0.318,0.945,-0.183,1738153
0.013,0.318,0.945,-0.122,1738157
0.013,0.318,0.945,-0.122,1738161
0.014,0.315,0.945,-0.183,1738165
0.014,0.315,0.945,-0.244,1738169
0.011,0.314,0.945,-0.244,1738173
0.011,0.314,0.945,-0.305,1738177
0.011,0.314,0.945,-0.305,1738181
0.01,0.314,0.947,-0.305,1738185
0.01,0.314,0.947,-0.244,1738189
0.01,0.313,0.946,-0.122,1738193
0.01,0.313,0.946,-0.122,1738197
0.01,0.313,0.946,-0.122,1738201
0.011,0.31,0.946,-0.183,1738205
0.011,0.31,0.946,-0.244,1738209
0.011,0.31,0.948,-0.244,1738213
0.011,0.31,0.948,-0.183,1738217
0.011,0.31,0.948,-0.183,1738221
0.01,0.31,0.946,-0.183,1738225
0.01,0.31,0.946,-0.122,1738229
0.009,0.31,0.946,-0.183,1738233
0.009,0.31,0.946,-0.122,1738237
0.009,0.31,0.946,-0.122,1738241
0.008,0.31,0.947,-0.122,1738245
0.008,0.31,0.947,-0.183,1738249
0.008,0.308,0.947,-0.183,1738253
0.008,0.308,0.947,-0.122,1738257
0.008,0.308,0.947,-0.122,1738261
0.009,0.307,0.945,-0.122,1738265
0.009,0.307,0.945,-0.427,1738269
0.007,0.31,0.946,-0.244,1738273
0.007,0.31,0.946,-0.183,1738277
0.007,0.31,0.946,-0.183,1738281
0.006,0.31,0.946,-0.183,1738285
0.006,0.31,0.946,-0.305,1738289
0.006,0.313,0.946,-0.183,1738293
0.006,0.313,0.946,-0.122,1738297
0.006,0.313,0.946,-0.122,1738301
0.004,0.315,0.944,-0.183,1738305
0.004,0.315,0.944,-0.122,1738309
0.005,0.314,0.943,-0.122,1738313
0.005,0.314,0.943,-0.122,1738317
0.005,0.314,0.943,-0.122,1738321
0.006,0.316,0.943,-0.061,1738325
0.006,0.316,0.943,0.0,1738328
0.008,0.316,0.943,-0.305,1738332
0.008,0.316,0.943,-0.061,1738336
0.008,0.316,0.943,-0.061,1738340
0.008,0.316,0.942,0.061,1738344
0.008,0.316,0.942,0.0,1738348
0.009,0.318,0.943,-0.244,1738352
0.009,0.318,0.943,-0.183,1738356
0.009,0.318,0.943,-0.183,1738360
0.008,0.315,0.944,-0.244,1738364
0.008,0.315,0.944,-0.183,1738368
0.009,0.314,0.944,-0.122,1738372
0.009,0.314,0.944,-0.122,1738376
0.009,0.314,0.944,-0.122,1738380
0.01,0.315,0.943,-0.183,1738384
0.01,0.315,0.943,-0.122,1738388
0.009,0.314,0.944,-0.183,1738392
0.009,0.314,0.944,-0.183,1738396
0.009,0.314,0.944,-0.183,1738400
0.009,0.314,0.947,-0.061,1738404
0.009,0.314,0.947,-0.122,1738408
0.011,0.314,0.947,-0.183,1738412
0.011,0.314,0.947,-0.122,1738416
0.011,0.314,0.947,-0.122,1738420
0.01,0.312,0.946,-0.122,1738424
0.01,0.312,0.946,-0.244,1738428
0.009,0.311,0.947,-0.244,1738432
0.009,0.311,0.947,-0.183,1738436
0.009,0.311,0.947,-0.183,1738440
0.008,0.31,0.947,-0.244,1738444
0.008,0.31,0.947,-0.244,1738448
0.009,0.311,0.945,-0.183,1738452
0.009,0.311,0.945,-0.305,1738456
0.008,0.31,0.947,-0.366,1738460
0.008,0.31,0.947,-0.366,1738464
0.008,0.31,0.947,-0.244,1738468
0.008,0.309,0.947,-0.183,1738472
0.008,0.309,0.947,-0.122,1738476
