Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
-0.003,0.052,1.001,-0.183,1840928
-0.003,0.052,1.001,-0.122,1840932
-0.003,0.052,0.999,-0.122,1840936
-0.003,0.052,0.999,-0.244,1840940
-0.004,0.051,0.998,-0.183,1840944
-0.004,0.051,0.998,-0.183,1840947
-0.004,0.051,0.998,-0.183,1840951
-0.004,0.051,0.999,-0.183,1840955
-0.004,0.051,0.999,-0.244,1840959
-0.004,0.052,0.999,-0.244,1840963
-0.004,0.052,0.999,-0.244,1840967
-0.004,0.052,0.999,-0.183,1840971
-0.003,0.053,0.999,-0.244,1840975
-0.003,0.053,0.999,-0.183,1840979
-0.003,0.053,1.0,-0.122,1840983
-0.003,0.053,1.0,-0.122,1840987
-0.003,0.053,1.0,-0.183,1840991
-0.003,0.052,0.999,-0.244,1840995
-0.003,0.052,0.999,-0.244,1840999
-0.002,0.053,0.998,-0.183,1841003
-0.002,0.053,0.998,-0.183,1841007
-0.002,0.053,0.998,-0.183,1841011
-0.003,0.053,0.999,-0.244,1841015
-0.003,0.053,0.999,-0.122,1841019
-0.005,0.052,1.001,-0.122,1841023
-0.005,0.052,1.001,-0.122,1841027
-0.005,0.052,1.001,-0.183,1841031
-0.005,0.052,0.999,-0.244,1841035
-0.005,0.052,0.999,-0.122,1841039
-0.004,0.051,0.999,-0.122,1841043
-0.004,0.051,0.999,-0.122,1841047
-0.004,0.051,0.999,-0.183,1841051
-0.003,0.051,1.0,-0.061,1841055
-0.003,0.051,1.0,-0.061,1841059
-0.002,0.051,0.999,-0.122,1841063
-0.002,0.051,0.999,-0.122,1841067
-0.002,0.051,0.999,-0.244,1841071
-0.003,0.052,0.999,-0.244,1841075
-0.003,0.052,0.999,-0.122,1841079
-0.003,0.052,0.999,-0.244,1841083
-0.003,0.052,0.999,-0.244,1841086
-0.003,0.052,0.999,-0.244,1841090
-0.005,0.051,1.0,-0.305,1841094
-0.005,0.051,1.0,-0.183,1841098
-0.005,0.053,0.999,-0.122,1841102
-0.005,0.053,0.999,-0.122,1841106
-0.005,0.053,0.999,-0.122,1841110
-0.004,0.053,0.999,-0.122,1841114
-0.004,0.053,0.999,-0.061,1841118
-0.004,0.05,1.001,-0.183,1841122
-0.004,0.05,1.001,-0.183,1841126
-0.004,0.05,1.001,-0.183,1841130
-0.004,0.052,1.0,0.0,1841134
-0.004,0.052,1.0,-0.183,1841138
-0.004,0.052,1.0,-0.244,1841142
-0.004,0.052,1.0,-0.244,1841146
-0.004,0.052,1.0,-0.122,1841150
-0.004,0.051,0.999,-0.183,1841154
-0.004,0.051,0.999,-0.122,1841158
-0.002,0.052,0.998,-0.122,1841162
-0.002,0.052,0.998,-0.122,1841166
-0.002,0.052,0.998,-0.244,1841170
-0.002,0.053,0.999,-0.244,1841174
-0.002,0.053,0.999,-0.183,1841178
-0.003,0.053,0.998,-0.183,1841182
-0.003,0.053,0.998,-0.183,1841186
-0.003,0.053,0.998,-0.183,1841190
-0.002,0.051,0.998,-0.244,1841193
-0.002,0.051,0.998,-0.061,1841197
-0.003,0.052,0.999,-0.244,1841201
-0.003,0.052,0.999,-0.244,1841205
-0.003,0.052,0.999,-0.122,1841209
-0.003,0.051,1.0,-0.183,1841213
-0.003,0.051,1.0,-0.122,1841217
-0.005,0.051,1.0,-0.122,1841221
-0.005,0.051,1.0,-0.122,1841225
-0.005,0.051,1.0,-0.244,1841229
-0.003,0.052,0.999,-0.244,1841233
-0.003,0.052,0.999,-0.244,1841237
-0.004,0.052,0.999,-0.183,1841241
-0.004,0.052,0.999,-0.183,1841245
-0.004,0.052,0.999,-0.183,1841249
-0.003,0.051,1.0,-0.183,1841253
-0.003,0.051,1.0,-0.244,1841257
-0.002,0.051,1.0,-0.183,1841261
-0.002,0.051,1.0,-0.183,1841265
-0.002,0.051,1.0,-0.244,1841269
-0.002,0.052,0.997,-0.183,1841273
-0.002,0.052,0.997,-0.244,1841277
-0.002,0.051,0.999,-0.244,1841281
-0.002,0.051,0.999,-0.244,1841285
-0.002,0.051,0.999,-0.244,1841289
-0.005,0.053,0.999,-0.122,1841293
-0.005,0.053,0.999,-0.244,1841297
-0.004,0.052,0.998,-0.183,1841301
-0.004,0.052,0.998,-0.183,1841305
-0.004,0.052,0.998,-0.061,1841309
-0.003,0.051,0.998,-0.183,1841313
-0.003,0.051,0.998,-0.183,1841317
-0.002,0.052,0.998,-0.122,1841321
-0.002,0.052,0.998,-0.122,1841324
-0.002,0.052,0.998,-0.122,1841328
-0.003,0.053,1.0,-0.244,1841332
-0.003,0.053,1.0,-0.183,1841336
-0.003,0.053,1.0,-0.244,1841340
-0.003,0.053,1.0,-0.244,1841344
-0.003,0.053,1.0,-0.305,1841348
-0.002,0.053,0.999,-0.244,1841352
-0.002,0.053,0.999,-0.122,1841356
-0.003,0.052,0.999,-0.183,1841360
-0.003,0.052,0.999,-0.183,1841364
-0.003,0.052,0.999,-0.061,1841368
-0.003,0.052,1.0,-0.183,1841372
-0.003,0.052,1.0,-0.183,1841376
-0.004,0.052,0.998,-0.122,1841380
-0.004,0.052,0.998,-0.122,1841384
-0.004,0.052,0.998,-0.183,1841388
-0.004,0.052,1.0,-0.183,1841392
-0.004,0.052,1.0,-0.183,1841396
-0.004,0.052,1.0,-0.122,1841400
-0.004,0.052,1.0,-0.122,1841404
-0.004,0.052,1.0,-0.183,1841408
-0.004,0.052,0.998,-0.183,1841412
-0.004,0.052,0.998,-0.244,1841416
-0.005,0.051,1.0,-0.183,1841420
-0.005,0.051,1.0,-0.183,1841424
-0.005,0.051,1.0,-0.183,1841428
-0.003,0.052,0.999,-0.244,1841432
-0.003,0.052,0.999,-0.244,1841436
-0.003,0.052,0.999,-0.183,1841440
-0.003,0.052,0.999,-0.183,1841444
-0.003,0.052,0.999,-0.183,1841448
-0.006,0.052,0.998,-0.305,1841452
-0.006,0.052,0.998,-0.061,1841455
-0.004,0.052,0.999,-0.061,1841459
-0.004,0.052,0.999,-0.061,1841463
-0.004,0.052,0.999,-0.244,1841467
-0.003,0.053,1.001,-0.305,1841471
-0.003,0.053,1.001,-0.183,1841475
-0.004,0.053,1.0,-0.183,1841479
-0.004,0.053,1.0,-0.183,1841483
-0.004,0.053,1.0,-0.244,1841487
-0.004,0.052,1.001,-0.244,1841491
-0.004,0.052,1.001,-0.122,1841495
-0.005,0.052,1.0,-0.183,1841499
-0.005,0.052,1.0,-0.183,1841503
-0.005,0.052,1.0,-0.061,1841507
-0.005,0.052,0.998,-0.122,1841511
-0.005,0.052,0.998,-0.183,1841515
