Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
-0.006,0.237,0.967,-0.244,2501137
-0.006,0.237,0.967,-0.244,2501141
-0.006,0.237,0.967,-0.244,2501145
-0.006,0.237,0.968,-0.183,2501149
-0.006,0.237,0.968,-0.244,2501153
-0.006,0.239,0.969,-0.183,2501157
-0.006,0.239,0.969,-0.183,2501161
-0.006,0.239,0.969,-0.183,2501165
-0.006,0.237,0.968,-0.244,2501169
-0.006,0.237,0.968,-0.122,2501173
-0.005,0.237,0.968,-0.183,2501177
-0.005,0.237,0.968,-0.183,2501181
-0.005,0.237,0.968,-0.183,2501185
-0.005,0.239,0.968,-0.122,2501189
-0.005,0.239,0.968,-0.183,2501193
-0.006,0.238,0.968,-0.244,2501196
-0.006,0.238,0.968,-0.244,2501200
-0.006,0.238,0.968,-0.244,2501204
-0.006,0.239,0.968,-0.183,2501208
-0.006,0.239,0.968,-0.305,2501212
-0.006,0.238,0.968,-0.244,2501216
-0.006,0.238,0.968,-0.244,2501220
-0.006,0.238,0.968,-0.122,2501224
-0.006,0.238,0.968,-0.183,2501228
-0.006,0.238,0.968,-0.244,2501232
-0.007,0.238,0.967,-0.244,2501236
-0.007,0.238,0.967,-0.244,2501240
-0.007,0.238,0.967,-0.183,2501244
-0.005,0.238,0.967,-0.183,2501248
-0.005,0.238,0.967,-0.122,2501252
-0.006,0.237,0.968,-0.183,2501256
-0.006,0.237,0.968,-0.122,2501260
-0.006,0.237,0.968,-0.122,2501264
-0.006,0.239,0.968,-0.305,2501268
-0.006,0.239,0.968,-0.122,2501272
-0.006,0.238,0.969,-0.122,2501276
-0.006,0.238,0.969,-0.305,2501280
-0.006,0.238,0.969,-0.305,2501284
-0.004,0.237,0.967,-0.305,2501288
-0.004,0.237,0.967,-0.183,2501292
-0.005,0.239,0.968,-0.305,2501296
-0.005,0.239,0.968,-0.305,2501300
-0.005,0.239,0.968,-0.244,2501304
-0.007,0.237,0.969,-0.183,2501308
-0.007,0.237,0.969,-0.244,2501312
-0.007,0.238,0.968,-0.183,2501316
-0.007,0.238,0.968,-0.244,2501320
-0.007,0.238,0.968,-0.244,2501324
-0.005,0.24,0.968,-0.183,2501328
-0.005,0.24,0.968,-0.183,2501332
-0.005,0.239,0.968,-0.122,2501336
-0.005,0.239,0.968,-0.244,2501340
-0.005,0.239,0.968,-0.244,2501344
-0.004,0.239,0.968,-0.183,2501347
-0.004,0.239,0.968,-0.183,2501351
-0.005,0.237,0.968,-0.244,2501355
-0.005,0.237,0.968,-0.183,2501359
-0.005,0.237,0.968,-0.183,2501363
-0.006,0.239,0.967,-0.183,2501367
-0.006,0.239,0.967,-0.183,2501371
-0.007,0.239,0.968,-0.244,2501375
-0.007,0.239,0.968,-0.183,2501379
-0.007,0.239,0.968,-0.183,2501383
-0.007,0.237,0.967,-0.122,2501387
-0.007,0.237,0.967,-0.244,2501391
-0.005,0.237,0.967,-0.183,2501395
-0.005,0.237,0.967,-0.244,2501399
-0.005,0.237,0.967,-0.244,2501403
-0.006,0.237,0.968,-0.305,2501407
-0.006,0.237,0.968,-0.244,2501411
-0.006,0.237,0.969,-0.305,2501415
-0.006,0.237,0.969,-0.244,2501419
-0.006,0.237,0.969,-0.244,2501423
-0.006,0.238,0.968,-0.183,2501427
-0.006,0.238,0.968,-0.122,2501431
-0.006,0.237,0.967,-0.183,2501435
-0.006,0.237,0.967,-0.183,2501439
-0.006,0.237,0.967,-0.183,2501443
-0.006,0.236,0.967,-0.183,2501447
-0.006,0.236,0.967,-0.122,2501451
-0.004,0.238,0.968,-0.244,2501455
-0.004,0.238,0.968,-0.122,2501459
-0.004,0.238,0.968,-0.122,2501463
-0.006,0.238,0.969,-0.183,2501467
-0.006,0.238,0.969,-0.244,2501471
-0.007,0.237,0.968,-0.244,2501475
-0.007,0.237,0.968,-0.244,2501479
-0.007,0.237,0.968,-0.244,2501483
