Acc_X,Acc_Y,Acc_Z,Rot_Z,Millis
-0.404,0.587,0.903,74.036,2381090
-0.382,0.371,0.975,91.797,2381094
-0.382,0.371,0.975,111.084,2381098
-0.391,0.098,1.014,129.456,2381102
-0.391,0.098,1.014,141.724,2381106
-0.391,0.098,1.014,141.724,2381110
-0.422,-0.196,1.003,146.912,2381114
-0.422,-0.196,1.003,148.193,2381118
-0.368,-0.488,0.971,148.254,2381123
-0.368,-0.488,0.971,145.935,2381127
-0.368,-0.488,0.971,145.935,2381131
-0.276,-0.787,0.909,139.832,2381135
-0.276,-0.787,0.909,129.761,2381139
-0.206,-1.066,0.88,114.929,2381143
-0.206,-1.066,0.88,95.52,2381147
-0.206,-1.066,0.88,95.52,2381151
-0.147,-1.305,0.877,72.937,2381155
-0.147,-1.305,0.877,48.645,2381159
-0.062,-1.417,0.86,23.804,2381163
-0.062,-1.417,0.86,-0.61,2381167
0.002,-1.404,0.768,-23.376,2381171
0.002,-1.404,0.768,-23.376,2381175
0.002,-1.404,0.768,-43.518,2381179
0.038,-1.352,0.702,-60.791,2381183
0.038,-1.352,0.702,-76.05,2381187
0.031,-1.272,0.681,-90.515,2381191
0.031,-1.272,0.681,-90.515,2381195
0.031,-1.272,0.681,-105.286,2381199
0.006,-1.183,0.661,-119.812,2381203
0.006,-1.183,0.661,-132.629,2381207
0.016,-1.068,0.689,-143.494,2381211
0.016,-1.068,0.689,-143.494,2381215
0.016,-1.068,0.689,-152.161,2381219
0.042,-0.957,0.682,-158.997,2381223
0.042,-0.957,0.682,-164.795,2381227
0.027,-0.795,0.662,-170.776,2381231
0.027,-0.795,0.662,-170.776,2381235
0.027,-0.795,0.662,-174.561,2381239
-0.052,-0.522,0.72,-171.692,2381243
-0.052,-0.522,0.72,-161.743,2381247
-0.223,-0.21,0.794,-147.705,2381251
-0.223,-0.21,0.794,-131.531,2381255
-0.223,-0.21,0.794,-131.531,2381259
-0.419,0.167,1.002,-114.197,2381263
-0.419,0.167,1.002,-94.482,2381267
-0.497,0.509,1.143,-72.693,2381271
-0.497,0.509,1.143,-50.354,2381275
